pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name
1,Tomáš Dvořák,CZE,8902 CR,Mark,10.62,8.07,16.57,2.00,47.74,13.80,45.51,5.00,68.53,4:35.13,6947294,wa_2001
2,Erki Nool,EST,8815 NR,Mark,10.60,7.63,14.90,2.03,46.23,14.40,43.40,5.40,67.01,4:29.58,6947294,wa_2001
3,Dean Macey,GBR,8603 PB,Mark,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.70,54.61,4:29.05,6947294,wa_2001
4,Attila Zsivoczky-Pandel,HUN,8371 SB,Mark,10.97,6.99,14.65,2.18,48.86,15.19,47.23,4.90,62.43,4:23.23,6947294,wa_2001
5,Lev Lobodin,RUS,8352,Mark,10.74,7.15,16.16,2.03,48.78,14.42,44.95,5.10,54.68,4:31.77,6947294,wa_2001
6,Jiří Ryba,CZE,8332 SB,Mark,11.14,7.17,13.76,2.09,48.76,14.33,47.40,5.10,56.04,4:20.66,6947294,wa_2001
7,Stefan Schmid,GER,8307 SB,Mark,10.87,7.43,13.55,1.97,47.86,14.57,43.16,5.10,65.13,4:33.98,6947294,wa_2001
8,Laurent Hernu,FRA,8280 PB,Mark,10.97,7.31,14.43,2.03,49.31,14.01,43.93,5.10,59.90,4:37.41,6947294,wa_2001
9,Oleksandr Yurkov,UKR,8264,Mark,10.93,7.37,15.15,1.97,49.45,14.41,48.10,5.00,58.63,4:38.43,6947294,wa_2001
10,Roman Šebrle,CZE,8174,Mark,10.91,7.67,15.43,2.00,48.18,16.97,47.41,4.60,65.75,4:31.04,6947294,wa_2001
11,Michael Nolan,CAN,8169 PB,Mark,11.29,6.98,15.17,1.97,49.86,14.86,50.30,4.90,64.57,4:31.44,6947294,wa_2001
12,Mário Aníbal,POR,8155,Mark,10.84,7.11,15.35,2.00,48.46,14.45,44.22,5.00,53.23,4:36.64,6947294,wa_2001
13,Zsolt Kürtösi,HUN,8097,Mark,11.03,7.17,15.34,2.06,48.68,14.50,45.20,4.70,58.87,4:49.61,6947294,wa_2001
14,Benjamin Jensen,NOR,8090 SB,Mark,10.79,7.08,14.47,1.88,48.27,14.22,39.89,5.30,56.51,4:36.45,6947294,wa_2001
15,Phil McMullen,USA,8079,Mark,11.39,6.94,15.12,1.97,49.08,15.09,48.85,5.10,53.50,4:20.84,6947294,wa_2001
16,Chiel Warners,NED,7916,Mark,10.90,7.48,14.47,1.94,48.28,14.36,44.93,4.30,55.89,4:48.33,6947294,wa_2001
17,Kip Janvrin,USA,7905,Mark,11.17,6.72,13.45,1.88,48.26,14.77,43.39,5.00,57.96,4:19.26,6947294,wa_2001
,Klaus Ambrosch,AUT,DNF,Mark,11.07,NM,14.16,1.85,DNS,DNS,DNS,DNS,DNS,,6947294,wa_2001
,Bryan Clay,USA,DNF,Mark,10.73,7.20,12.79,1.94,49.64,14.53,46.63,NM,DNS,,6947294,wa_2001
,Eduard Hämäläinen,FIN,DNF,Mark,11.06,7.13,NM,DNS,DNS,DNS,DNS,DNS,DNS,,6947294,wa_2001
,Sebastian Knabe,GER,DNF,Mark,10.90,7.47,14.45,1.97,48.19,DNF,44.36,4.70,49.37,DNS,6947294,wa_2001
,Jón Arnar Magnússon,ISL,DNF,Mark,11.01,5.83,14.78,1.94,DNS,DNS,DNS,DNS,DNS,,6947294,wa_2001
1,Tom Pappas,USA,8750,Mark,10.80,7.62,16.11,2.09,47.58,13.99,46.94,5.10,65.90,4:44.31,,wa_2003
2,Roman Šebrle,CZE,8634,Mark,11.00,7.64,15.47,2.06,47.90,14.25,47.47,4.80,69.79,4:34.45,,wa_2003
3,Dmitriy Karpov,KAZ,8374 NR,Mark,10.72,7.75,15.51,2.12,47.33,13.95,47.38,4.40,47.53,4:37.70,,wa_2003
4,Tomáš Dvořák,CZE,8242 SB,Mark,11.03,7.28,15.95,1.94,50.04,14.15,45.47,4.50,67.10,4:27.63,,wa_2003
5,Laurent Hernu,FRA,8218 SB,Mark,11.20,7.22,13.99,2.03,48.95,14.15,46.13,4.90,59.63,4:28.38,,wa_2003
6,Lev Lobodin,RUS,8198 SB,Mark,10.99,7.08,15.43,1.97,49.54,14.36,48.36,5.00,56.50,4:34.63,,wa_2003
7,Haifeng Qi,CHN,8126 NR,Mark,11.30,7.39,12.85,2.00,48.73,14.40,46.72,4.80,59.98,4:25.40,,wa_2003
8,André Niklaus,GER,8020 SB,Mark,11.19,7.21,13.87,1.97,49.95,14.50,42.68,5.10,57.55,4:28.84,,wa_2003
9,Claston Bernard,JAM,8000 SB,Mark,10.91,7.22,15.39,2.03,49.31,14.76,43.47,4.30,59.47,4:34.49,,wa_2003
10,Vitaliy Smirnov,UZB,7897 PB,Mark,11.10,6.98,13.89,1.97,48.98,14.98,42.70,4.50,62.69,4:24.68,,wa_2003
11,Chiel Warners,NED,7753,Mark,10.95,7.55,14.13,1.91,48.94,14.72,41.49,4.50,54.87,4:51.35,,wa_2003
12,Paul Terek,USA,7503,Mark,10.99,7.14,15.30,2.03,48.75,DQ,45.72,5.30,61.14,4:30.77,,wa_2003
,Attila Zsivoczky-Pandel,HUN,DNF,Mark,11.32,6.76,14.35,2.09,49.79,DNS,DNS,,,,,wa_2003
,Aleksandr Pogorelov,RUS,DNF,Mark,11.16,7.22,15.21,2.06,50.49,14.28,44.59,4.90,DNS,,,wa_2003
,Paolo Casarsa,ITA,DNF,Mark,11.46,6.69,14.57,1.94,51.63,14.54,36.21,NM,DNS,,,wa_2003
,Kristjan Rahnu,EST,DNF,Mark,10.85,7.18,15.55,1.97,DQ,DNS,DNS,,,,,wa_2003
,Hamdi Dhouibi,TUN,DNF,Mark,10.83,6.96,13.13,DNS,DNS,,,,,,,wa_2003
,Jón Arnar Magnússon,ISL,DNF,Mark,11.11,6.15,15.29,DNS,DNS,,,,,,,wa_2003
,Erki Nool,EST,DNF,Mark,11.09,6.78,14.14,DNS,DNS,,,,,,,wa_2003
,Bryan Clay,USA,DNF,Mark,10.50,7.70,15.05,1.97,DNF,DNS,DNS,,,,,wa_2003
1,Bryan Clay,USA,8732 WL,Mark,10.43,7.54,16.25,2.00,47.78,14.43,53.68,4.90,72.00,5:03.77,6937596,wa_2005
2,Roman Šebrle,CZE,8521,Mark,10.91,7.86,16.29,2.06,48.62,14.71,46.85,4.80,63.21,4:39.54,6937596,wa_2005
3,Attila Zsivoczky-Pandel,HUN,8385,Mark,10.90,7.03,15.72,2.15,49.29,15.15,49.58,4.80,63.02,4:32.17,6937596,wa_2005
4,André Niklaus,GER,8316 PB,Mark,11.04,7.20,14.24,2.03,49.42,14.78,46.13,5.30,61.74,4:28.93,6937596,wa_2005
5,Aleksandr Pogorelov,RUS,8246,Mark,10.86,7.49,15.90,2.09,50.58,14.45,46.68,5.00,59.79,5:03.62,6937596,wa_2005
6,Kristjan Rahnu,EST,8223,Mark,10.59,7.36,15.79,2.03,48.58,14.87,47.13,4.70,61.65,4:59.73,6937596,wa_2005
7,Romain Barras,FRA,8087,Mark,11.15,7.35,14.62,1.94,48.63,14.65,44.24,4.80,60.39,4:31.94,6937596,wa_2005
8,Tomáš Dvořák,CZE,8068,Mark,10.94,7.31,15.95,2.00,50.34,14.81,45.69,4.20,64.89,4:34.24,6937596,wa_2005
9,Jaakko Ojaniemi,FIN,8042 SB,Mark,10.67,7.57,14.95,1.91,50.29,15.04,42.41,4.50,66.27,4:38.18,6937596,wa_2005
10,Aleksey Drozdov,RUS,8038,Mark,11.07,7.24,15.43,2.06,51.11,15.67,50.13,4.50,63.67,4:38.96,6937596,wa_2005
11,Hamdi Dhouibi,TUN,8023 AR,Mark,10.67,7.43,12.85,1.94,47.04,14.56,41.17,4.80,52.83,4:31.24,6937596,wa_2005
12,Mikk Pahapill,EST,8003,Mark,11.06,7.27,15.36,2.06,51.44,15.37,45.81,4.80,63.53,4:48.26,6937596,wa_2005
13,Paul Terek,USA,7921,Mark,10.83,7.16,14.31,1.97,48.85,15.83,44.65,5.00,54.46,4:36.59,6937596,wa_2005
14,Frédéric Xhonneux,BEL,7616,Mark,11.28,7.21,12.92,2.03,49.04,15.75,38.62,4.70,50.18,4:22.71,6937596,wa_2005
15,Roland Schwarzl,AUT,7549,Mark,11.06,7.10,13.73,1.82,50.81,14.90,45.56,4.90,50.67,4:51.25,6937596,wa_2005
16,Óscar González,ESP,7526,Mark,11.07,7.20,13.63,2.00,49.71,14.96,37.03,4.60,45.54,4:35.25,6937596,wa_2005
17,Phil McMullen,USA,6832,Mark,11.47,6.65,15.01,1.94,50.21,15.58,49.28,NM,53.35,4:33.38,6937596,wa_2005
,Vitaliy Smirnov,UZB,DNF,Mark,DNS,DNS,DNS,DNS,,,,,,,6937596,wa_2005
,Haifeng Qi,CHN,DNF,Mark,10.92,7.18,13.45,2.00,DNS,DNS,DNS,DNS,,,6937596,wa_2005
,Dmitriy Karpov,KAZ,DNF,Mark,DQ,DNS,DNS,DNS,DNS,,,,,,6937596,wa_2005
,Maurice Smith,JAM,DNF,Mark,10.81,7.17,NM,DNS,DNS,,,,,,6937596,wa_2005
,Alexey Sysoev,RUS,DNF,Mark,10.72,6.32,15.75,2.06,50.46,15.49,47.13,NM,DNS,,6937596,wa_2005
,Benjamin Jensen,NOR,DNF,Mark,11.04,NM,DNS,DNS,DNS,,,,,,6937596,wa_2005
,Claston Bernard,JAM,DNF,Mark,10.79,6.80,13.68,DNS,DNS,,,,,,6937596,wa_2005
,Eugene Martineau,NED,DNF,Mark,11.22,7.15,13.31,2.00,50.45,15.85,40.23,NM,DNS,,6937596,wa_2005
,Laurent Hernu,FRA,DNS,Mark,DNS,DNS,DNS,DNS,DNS,,,,,,6937596,wa_2005
1,Roman Šebrle,CZE,8676,Mark,11.04,7.56,15.92,2.12,48.80,14.33,48.75,4.80,71.18,4:35.32,6903480,wa_2007
2,Maurice Smith,JAM,8644 NR,Mark,10.62,7.50,17.32,1.97,47.48,13.91,52.36,4.80,53.61,4:33.52,6903480,wa_2007
3,Dmitriy Karpov,KAZ,8586 SB,Mark,10.70,7.19,16.08,2.06,47.44,14.03,48.95,5.00,59.84,4:39.68,6903480,wa_2007
4,Aleksey Drozdov,RUS,8475 PB,Mark,10.97,7.25,16.49,2.12,50.00,14.76,48.62,5.00,63.51,4:36.93,6903480,wa_2007
5,André Niklaus,GER,8371 PB,Mark,11.12,7.42,14.12,2.06,49.40,14.51,44.48,5.30,63.28,4:32.50,6903480,wa_2007
6,Alexey Sysoev,RUS,8357 PB,Mark,10.80,7.01,16.16,2.03,48.42,14.59,49.76,4.90,57.75,4:36.16,6903480,wa_2007
7,Romain Barras,FRA,8262,Mark,11.36,7.13,15.03,2.00,49.32,14.36,44.51,5.00,65.74,4:25.75,6903480,wa_2007
8,Yordani García,CUB,8257 NR,Mark,10.73,7.15,14.94,2.09,49.25,14.08,42.91,4.70,68.74,4:55.42,6903480,wa_2007
9,Arthur Abele,GER,8243,Mark,10.87,7.17,13.58,2.00,48.58,13.92,41.28,4.70,65.24,4:21.69,6903480,wa_2007
10,Paul Terek,USA,8120,Mark,10.95,7.26,14.81,2.00,49.34,15.10,44.81,5.20,55.96,4:37.38,6903480,wa_2007
11,Hans van Alphen,BEL,8034,Mark,11.11,7.35,14.67,1.88,48.52,14.77,44.30,4.30,65.71,4:22.50,6903480,wa_2007
12,Attila Zsivoczky-Pandel,HUN,8017 SB,Mark,11.44,7.00,15.13,2.09,50.58,14.82,46.80,4.80,59.63,4:35.55,6903480,wa_2007
13,Jake Arnold,USA,8004,Mark,11.14,6.86,14.73,2.06,49.02,14.72,43.70,5.10,56.01,4:43.58,6903480,wa_2007
14,Aliaksandr Parkhomenka,BLR,7984,Mark,11.29,6.92,15.98,1.94,51.16,14.93,44.86,4.70,69.14,4:34.63,6903480,wa_2007
15,François Gourmet,BEL,7974 PB,Mark,10.67,7.15,13.74,1.85,47.98,15.02,39.87,5.00,57.73,4:25.51,6903480,wa_2007
16,Andres Raja,EST,7794,Mark,10.92,7.42,14.26,1.85,48.89,14.51,37.07,4.70,60.34,4:45.83,6903480,wa_2007
17,Agustín Félix,ESP,7749,Mark,11.17,7.12,13.29,2.03,52.08,14.75,43.67,5.00,56.69,4:48.27,6903480,wa_2007
18,Alberto Juantorena,CUB,7657,Mark,11.13,7.43,13.54,2.09,50.37,14.97,41.69,4.20,56.28,4:50.69,6903480,wa_2007
19,Hiromasa Tanaka,JPN,7629,Mark,11.05,6.78,11.92,1.88,48.59,15.53,41.65,5.10,59.59,4:40.04,6903480,wa_2007
20,Josef Karas,CZE,7625,Mark,11.12,7.44,13.23,1.94,50.60,15.17,45.58,4.40,49.28,4:31.21,6903480,wa_2007
21,Kun-woo Kim,KOR,7531 SB,Mark,11.29,7.12,12.83,1.91,48.99,14.89,36.23,4.80,44.79,4:16.16,6903480,wa_2007
22,Norman Müller,GER,7344,Mark,10.90,7.44,15.18,1.97,47.58,14.71,40.99,NM,58.93,4:30.38,6903480,wa_2007
23,Hans Olav Uldal,NOR,6698,Mark,11.21,6.93,13.65,1.82,50.70,27.24,45.31,4.50,61.63,4:44.91,6903480,wa_2007
,Vitaliy Smirnov,UZB,DNF,Mark,DNF,DNS,DNS,DNS,DNS,,,,,,6903480,wa_2007
,Carlos Chinin,BRA,DNF,Mark,10.83,7.26,12.72,2.03,48.18,14.50,38.06,NM,,,6903480,wa_2007
,Eugene Martineau,NED,DNF,Mark,11.25,7.13,13.69,2.00,50.38,DNS,DNS,DNS,,,6903480,wa_2007
,Hamdi Dhouibi,TUN,DNF,Mark,10.93,7.05,13.40,1.82,47.59,14.49,44.37,4.70,,,6903480,wa_2007
,Bryan Clay,USA,DNF,Mark,10.44,7.65,15.51,1.97,DNS,,,,,,6903480,wa_2007
,Tom Pappas,USA,DNF,Mark,10.96,7.44,16.31,2.03,49.22,14.84,DNS,DNS,,,6903480,wa_2007
,Andrei Krauchanka,BLR,DNF,Mark,DQ,7.58,DNS,DNS,DNS,,,,,,6903480,wa_2007
1,Trey Hardee,USA,8790,Mark,10.45,7.83,15.33,1.99,48.13,13.86,48.08,5.20,68.00,4:48.91,6998524,wa_2009
2,Leonel Suárez,CUB,8640,Mark,11.13,7.24,15.20,2.11,48.00,14.45,44.71,5.00,75.19,4:27.25,6998524,wa_2009
3,Oleksiy Kasyanov,UKR,8479,Mark,10.63,7.80,15.72,2.05,47.85,14.44,46.70,4.80,49.00,4:24.52,6998524,wa_2009
4,Alexey Sysoev,RUS,8454,Mark,10.85,6.87,16.17,2.02,49.32,14.97,53.03,5.10,64.55,4:34.97,6998524,wa_2009
5,Pascal Behrenbruch,GER,8439,Mark,10.92,7.09,15.77,2.02,48.72,14.24,48.06,4.80,69.72,4:39.45,6998524,wa_2009
6,Nicklas Wiberg,SWE,8406,Mark,10.96,7.25,14.99,2.05,48.73,14.75,42.28,4.50,75.02,4:17.05,6998524,wa_2009
7,Yordani García,CUB,8387,Mark,10.60,7.05,15.15,2.08,48.34,14.08,44.40,4.70,69.37,4:49.45,6998524,wa_2009
8,Yunior Díaz,CUB,8357,Mark,10.66,7.72,14.54,2.02,46.15,14.56,43.52,4.60,60.09,4:40.58,6998524,wa_2009
9,Andrei Krauchanka,BLR,8281,Mark,11.18,7.62,13.96,2.11,48.77,14.13,42.24,4.90,60.71,4:37.77,6998524,wa_2009
10,Roman Šebrle,CZE,8266,Mark,11.16,7.80,14.98,2.11,50.42,14.44,46.30,4.60,65.61,4:50.33,6998524,wa_2009
11,Romain Barras,FRA,8204,Mark,11.14,7.04,14.78,1.99,49.66,14.27,45.62,5.00,61.24,4:27.04,6998524,wa_2009
12,Larbi Bourrada,ALG,8171,Mark,10.68,7.35,12.30,2.05,48.58,14.57,37.83,4.70,62.53,4:12.15,6998524,wa_2009
13,Willem Coertzen,RSA,8146,Mark,10.89,7.32,13.16,2.02,48.63,14.26,42.40,4.60,65.46,4:32.57,6998524,wa_2009
14,Andres Raja,EST,8119,Mark,10.82,7.38,14.55,1.99,49.00,14.22,42.75,4.80,57.73,4:40.73,6998524,wa_2009
15,Norman Müller,GER,8096,Mark,11.01,7.35,14.93,1.99,48.20,14.59,41.21,4.80,57.40,4:33.02,6998524,wa_2009
16,Vasiliy Kharlamov,RUS,8065,Mark,11.22,7.38,14.95,1.93,49.44,14.83,46.24,5.00,59.93,4:41.54,6998524,wa_2009
17,Ashton Eaton,USA,8061,Mark,10.53,7.85,12.26,2.02,47.75,14.28,37.15,5.00,50.87,4:45.03,6998524,wa_2009
18,Eugene Martineau,NED,8055,Mark,11.18,7.41,12.66,1.99,50.26,14.91,44.94,4.80,70.14,4:35.27,6998524,wa_2009
19,Ingmar Vos,NED,8009,Mark,10.90,7.21,13.78,2.02,49.99,14.51,42.39,4.40,64.27,4:28.51,6998524,wa_2009
20,Dmitriy Karpov,KAZ,7952,Mark,11.02,6.86,15.27,2.05,49.45,14.46,48.93,4.80,51.38,4:53.61,6998524,wa_2009
21,Nadir El Fassi,FRA,7922,Mark,11.12,7.26,13.62,1.99,51.35,14.90,42.25,4.80,57.65,4:16.51,6998524,wa_2009
22,Brent Newdick,NZL,7915,Mark,11.11,7.42,14.35,1.99,50.10,14.82,43.60,4.80,51.52,4:30.57,6998524,wa_2009
23,Jake Arnold,USA,7837,Mark,11.01,6.73,13.97,1.96,49.07,14.40,43.23,4.70,57.37,4:35.93,6998524,wa_2009
24,Daniel Almgren,SWE,7803,Mark,10.92,7.29,13.43,1.99,47.68,15.14,34.33,4.30,56.69,4:13.47,6998524,wa_2009
25,Daisuke Ikeda,JPN,7788,Mark,11.16,7.09,13.43,1.87,49.28,14.90,39.72,4.60,63.73,4:22.39,6998524,wa_2009
26,Moritz Cleve,GER,7777,Mark,11.06,7.27,14.12,1.87,49.17,14.54,39.62,4.60,54.26,4:25.96,6998524,wa_2009
27,Yevhen Nikitin,UKR,7710,Mark,11.04,6.92,14.69,1.93,49.50,14.87,42.71,4.60,54.73,4:40.12,6998524,wa_2009
28,Mateo Sossah,FRA,7682,Mark,11.57,7.04,11.97,2.05,49.60,14.83,41.25,4.40,59.67,4:20.40,6998524,wa_2009
29,Simon Walter,SUI,7649,Mark,11.05,7.21,12.80,1.93,49.67,14.83,42.48,5.00,54.91,5:01.12,6998524,wa_2009
30,Attila Szabó,HUN,7610,Mark,11.15,7.09,13.92,1.84,49.79,14.65,43.75,4.40,59.56,4:45.64,6998524,wa_2009
31,Agustín Félix,ESP,7539,Mark,11.32,7.19,13.23,2.08,52.41,14.80,42.81,4.90,50.10,5:00.50,6998524,wa_2009
32,Mikk-Mihkel Arro,EST,7528,Mark,11.11,6.94,14.42,1.90,51.28,14.82,41.83,4.50,56.21,4:44.14,6998524,wa_2009
33,Atis Vaisjuns,LAT,7507,Mark,11.27,6.94,14.07,1.99,49.88,15.27,42.02,4.40,57.50,4:52.08,6998524,wa_2009
,Aleksandr Pogorelov,RUS,DQ,Mark,DQ,DQ,DQ,DQ,DQ,DQ,DQ,DQ,DQ,DQ,6998524,wa_2009
,Mikk Pahapill,EST,DNF,Mark,11.01,NM,14.38,DNS,DNS,DNS,,,,,6998524,wa_2009
,Roland Schwarzl,AUT,DNF,Mark,11.69,NM,DNS,DNS,,,,,,,6998524,wa_2009
,Eelco Sintnicolaas,NED,DNF,Mark,11.05,7.16,12.80,1.81,DNS,DNS,DNS,DNS,,,6998524,wa_2009
,Maurice Smith,JAM,DNF,Mark,29.42,DNS,DNS,DNS,,,,,,,6998524,wa_2009
1,Trey Hardee,USA,8607,Mark,10.55,7.45,15.09,2.02,48.37,13.97,49.89,4.80,68.99,4:45.68,7003367,wa_2011
2,Ashton Eaton,USA,8505,Mark,10.46,7.46,14.44,2.02,46.99,13.85,46.17,4.60,55.17,4:18.94,7003367,wa_2011
3,Leonel Suárez,CUB,8501 SB,Mark,11.07,7.33,14.54,2.05,49.17,14.29,46.25,5.00,69.12,4:24.16,7003367,wa_2011
4,Aleksey Drozdov,RUS,8313,Mark,11.34,7.45,16.17,2.14,51.35,15.49,50.29,5.00,64.80,4:41.73,7003367,wa_2011
5,Eelco Sintnicolaas,NED,8298,Mark,10.76,7.29,14.13,1.93,48.35,14.42,42.23,5.20,61.07,4:25.40,7003367,wa_2011
6,Mihail Dudaš,SRB,8256 NR,Mark,10.81,7.41,13.76,2.02,47.73,14.89,43.97,4.90,58.93,4:26.06,7003367,wa_2011
7,Pascal Behrenbruch,GER,8211,Mark,11.08,6.80,16.01,1.93,49.90,14.33,48.56,4.90,66.50,4:36.64,7003367,wa_2011
8,Jan Felix Knobel,GER,8200,Mark,11.18,7.30,16.06,1.96,49.46,14.92,47.93,4.70,68.42,4:43.12,7003367,wa_2011
9,Mikk Pahapill,EST,8164,Mark,11.28,7.12,14.76,2.02,50.65,14.54,47.16,4.90,66.40,4:35.41,7003367,wa_2011
10,Larbi Bourrada,ALG,8158,Mark,10.88,7.42,13.11,1.96,47.34,14.56,37.84,4.90,59.00,4:14.97,7003367,wa_2011
11,Romain Barras,FRA,8134 SB,Mark,11.20,7.06,14.92,1.99,49.50,14.37,41.65,5.00,63.25,4:29.19,7003367,wa_2011
12,Oleksiy Kasyanov,UKR,8132,Mark,10.75,7.59,14.43,1.99,48.46,14.65,43.74,4.70,52.16,4:29.35,7003367,wa_2011
13,Thomas van der Plaetsen,BEL,8069,Mark,11.20,7.79,12.76,2.17,49.46,14.79,37.20,5.10,58.91,4:45.86,7003367,wa_2011
14,Roman Šebrle,CZE,8069,Mark,11.25,7.30,15.20,2.05,51.18,14.75,46.93,4.80,67.28,4:56.50,7003367,wa_2011
15,Andres Raja,EST,7982,Mark,10.85,7.21,14.61,1.99,49.47,14.04,43.39,4.70,57.35,4:52.28,7003367,wa_2011
16,Luiz Alberto de Araújo,BRA,7902,Mark,10.71,6.74,14.77,1.90,48.48,14.25,46.46,4.70,54.38,4:47.29,7003367,wa_2011
17,Kun-woo Kim,KOR,7860 NR,Mark,11.11,7.24,12.96,1.96,49.24,14.95,39.53,4.90,53.33,4:15.63,7003367,wa_2011
18,Damian Warner,CAN,7832,Mark,10.56,7.35,13.26,2.02,50.12,14.19,41.71,4.50,54.61,4:54.37,7003367,wa_2011
19,Brent Newdick,NZL,7761,Mark,11.00,7.31,13.75,1.96,49.95,14.86,45.65,4.50,55.69,4:47.30,7003367,wa_2011
20,Keisuke Ushiro,JPN,7639,Mark,11.42,6.96,12.88,2.02,50.89,15.20,43.84,4.40,67.73,4:43.87,7003367,wa_2011
21,Dmitriy Karpov,KAZ,7550,Mark,11.24,6.86,15.69,1.93,52.01,14.64,47.10,4.80,46.91,4:58.41,7003367,wa_2011
22,Ryan Harlan,USA,6761,Mark,11.29,6.68,16.49,2.02,51.57,14.71,43.52,NM,58.43,5:21.63,7003367,wa_2011
,Jamie Adjetey-Nelson,CAN,DNF,Mark,10.97,7.21,DNS,DNS,DNS,,,,,,7003367,wa_2011
,Willem Coertzen,RSA,DNF,Mark,11.16,7.37,13.48,2.02,49.20,14.48,43.13,NM,DNS,,7003367,wa_2011
,Darius Draudvila,LTU,DNF,Mark,10.90,7.19,14.81,1.96,50.55,14.93,NM,DNS,DNS,,7003367,wa_2011
,Rico Freimuth,GER,DNF,Mark,10.83,NM,NM,DNS,DNS,,,,,,7003367,wa_2011
,Yordani García,CUB,DNF,Mark,10.85,6.56,14.93,2.02,49.64,14.70,DNS,DNS,DNS,,7003367,wa_2011
,Hadi Sepehrzad,IRI,DNF,Mark,11.19,6.65,15.65,1.90,50.92,14.95,50.06,NM,DNS,,7003367,wa_2011
,Maurice Smith,JAM,DNF,Mark,10.98,7.06,15.15,1.93,50.27,14.68,45.63,DNS,DNS,,7003367,wa_2011
,Ingmar Vos,NED,DNF,Mark,10.82,7.41,13.86,DNS,DNS,,,,,,7003367,wa_2011
1,Ashton Eaton,USA,8809 WL,Mark,10.35,7.73,14.39,1.93,46.02,13.72,45.00,5.20,64.83,4:29.80,7003368,wa_2013
2,Michael Schrader,GER,8670 PB,Mark,10.73,7.85,14.56,1.99,47.66,14.29,46.44,5.00,65.67,4:25.38,7003368,wa_2013
3,Damian Warner,CAN,8512 PB,Mark,10.43,7.39,14.23,2.05,48.41,13.96,44.13,4.80,64.67,4:29.97,7003368,wa_2013
4,Kevin Mayer,FRA,8446 PB,Mark,11.23,7.50,13.76,2.05,49.53,14.21,45.37,5.20,66.09,4:25.04,7003368,wa_2013
5,Eelco Sintnicolaas,NED,8391 SB,Mark,10.85,7.65,14.08,2.02,48.25,14.18,39.21,5.30,56.75,4:24.64,7003368,wa_2013
6,Carlos Chinin,BRA,8388,Mark,10.78,7.54,14.49,1.96,48.80,14.05,45.84,5.10,59.98,4:36.01,7003368,wa_2013
7,Rico Freimuth,GER,8382 PB,Mark,10.60,7.22,14.80,1.99,48.05,13.90,48.74,4.90,56.21,4:37.83,7003368,wa_2013
8,Ilya Shkurenyov,RUS,8370 PB,Mark,10.97,7.35,13.88,2.05,48.39,14.34,44.06,5.40,59.46,4:36.95,7003368,wa_2013
9,Willem Coertzen,RSA,8343 AR,Mark,10.95,7.44,13.88,2.05,48.32,14.30,43.25,4.50,69.35,4:24.60,7003368,wa_2013
10,Leonel Suárez,CUB,8317 SB,Mark,11.07,7.33,14.20,1.90,48.21,14.62,46.41,4.90,68.61,4:23.87,7003368,wa_2013
11,Pascal Behrenbruch,GER,8316,Mark,10.95,7.19,15.86,1.99,48.40,14.46,45.66,4.70,67.07,4:37.21,7003368,wa_2013
12,Andrei Krauchanka,BLR,8314,Mark,11.19,7.39,14.84,2.11,49.65,14.44,46.12,5.10,59.98,4:39.63,7003368,wa_2013
13,Gunnar Nixon,USA,8312 PB,Mark,10.84,7.80,14.68,2.14,48.56,14.57,42.38,4.60,57.97,4:35.82,7003368,wa_2013
14,Mihail Dudaš,SRB,8275 NR,Mark,10.67,7.51,13.45,1.96,47.73,14.59,44.06,4.90,59.06,4:26.62,7003368,wa_2013
15,Thomas van der Plaetsen,BEL,8255 PB,Mark,11.09,7.64,13.57,2.05,49.00,14.66,41.17,5.10,65.31,4:37.93,7003368,wa_2013
16,Artem Lukyanenko,RUS,8177 PB,Mark,11.11,7.09,14.43,1.99,49.01,14.21,44.06,5.00,61.83,4:32.97,7003368,wa_2013
17,Mikk Pahapill,EST,8170 SB,Mark,11.33,7.12,14.87,1.99,49.84,14.54,47.57,5.00,62.89,4:33.16,7003368,wa_2013
18,Eduard Mikhan,BLR,7968,Mark,10.97,7.42,14.15,1.96,48.80,14.82,48.00,4.60,50.74,4:33.71,7003368,wa_2013
19,Maicel Uibo,EST,7850,Mark,11.21,7.26,13.68,2.11,50.60,15.29,41.84,4.90,59.63,4:48.29,7003368,wa_2013
20,Sergey Sviridov,RUS,7843,Mark,10.98,7.30,14.20,1.90,51.13,15.23,45.26,4.50,69.38,4:46.43,7003368,wa_2013
21,Pelle Rietveld,NED,7840 SB,Mark,11.15,6.68,13.21,1.90,48.67,14.37,38.06,5.10,64.38,4:35.94,7003368,wa_2013
22,Keisuke Ushiro,JPN,7751,Mark,11.44,6.84,13.17,1.96,51.20,15.32,45.31,4.90,67.65,4:38.91,7003368,wa_2013
23,Brent Newdick,NZL,7744 SB,Mark,11.14,7.28,13.84,2.02,50.25,15.19,42.49,4.50,57.30,4:38.54,7003368,wa_2013
