,pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name,1500_sec,100_speed,110h_speed,400_speed,1500_speed
175,10.0,Leonel Suárez,CUB,8317 SB,Mark,11.07,7.33,14.2,1.9,48.21,14.62,46.41,4.9,68.61,4:23.87,7003368.0,wa_2013,263.87,9.033423667570009,7.523939808481533,8.297033810412778,5.684617425247281
176,11.0,Pascal Behrenbruch,GER,8316,Mark,10.95,7.19,15.86,1.99,48.4,14.46,45.66,4.7,67.07,4:37.21,7003368.0,wa_2013,277.21,9.132420091324201,7.607192254495159,8.264462809917356,5.411060207063238
177,12.0,Andrei Krauchanka,BLR,8314,Mark,11.19,7.39,14.84,2.11,49.65,14.44,46.12,5.1,59.98,4:39.63,7003368.0,wa_2013,279.63,8.936550491510278,7.617728531855956,8.056394763343404,5.3642313056539
178,13.0,Gunnar Nixon,USA,8312 PB,Mark,10.84,7.8,14.68,2.14,48.56,14.57,42.38,4.6,57.97,4:35.82,7003368.0,wa_2013,275.82,9.22509225092251,7.549759780370624,8.237232289950576,5.438329345225147
179,14.0,Mihail Dudaš,SRB,8275 NR,Mark,10.67,7.51,13.45,1.96,47.73,14.59,44.06,4.9,59.06,4:26.62,7003368.0,wa_2013,266.62,9.372071227741332,7.539410555174777,8.380473496752566,5.625984547295777
180,15.0,Thomas van der Plaetsen,BEL,8255 PB,Mark,11.09,7.64,13.57,2.05,49.0,14.66,41.17,5.1,65.31,4:37.93,7003368.0,wa_2013,277.93,9.017132551848512,7.503410641200546,8.16326530612245,5.397042420753427
181,16.0,Artem Lukyanenko,RUS,8177 PB,Mark,11.11,7.09,14.43,1.99,49.01,14.21,44.06,5.0,61.83,4:32.97,7003368.0,wa_2013,272.97,9.000900090009,7.741027445460943,8.161599673536013,5.495109352676118
182,17.0,Mikk Pahapill,EST,8170 SB,Mark,11.33,7.12,14.87,1.99,49.84,14.54,47.57,5.0,62.89,4:33.16,7003368.0,wa_2013,273.15999999999997,8.8261253309797,7.565337001375516,8.025682182985554,5.491287157709768
183,18.0,Eduard Mikhan,BLR,7968,Mark,10.97,7.42,14.15,1.96,48.8,14.82,48.0,4.6,50.74,4:33.71,7003368.0,wa_2013,273.71,9.115770282588878,7.422402159244264,8.196721311475411,5.480252822330204
184,19.0,Maicel Uibo,EST,7850,Mark,11.21,7.26,13.68,2.11,50.6,15.29,41.84,4.9,59.63,4:48.29,7003368.0,wa_2013,288.29,8.920606601248885,7.194244604316547,7.905138339920948,5.2030941066287415
185,20.0,Sergey Sviridov,RUS,7843,Mark,10.98,7.3,14.2,1.9,51.13,15.23,45.26,4.5,69.38,4:46.43,7003368.0,wa_2013,286.43,9.107468123861565,7.222586999343401,7.8231957754742805,5.236881611563034
186,21.0,Pelle Rietveld,NED,7840 SB,Mark,11.15,6.68,13.21,1.9,48.67,14.37,38.06,5.1,64.38,4:35.94,7003368.0,wa_2013,275.94,8.968609865470851,7.654836464857342,8.218615163344976,5.435964340073929
187,22.0,Keisuke Ushiro,JPN,7751,Mark,11.44,6.84,13.17,1.96,51.2,15.32,45.31,4.9,67.65,4:38.91,7003368.0,wa_2013,278.90999999999997,8.741258741258742,7.180156657963447,7.8125,5.378078950198989
188,23.0,Brent Newdick,NZL,7744 SB,Mark,11.14,7.28,13.84,2.02,50.25,15.19,42.49,4.5,57.3,4:38.54,7003368.0,wa_2013,278.54,8.976660682226212,7.241606319947334,7.960199004975125,5.385222948230056
189,24.0,Marcus Nilsson,SWE,7540,Mark,11.42,6.62,14.81,1.87,50.56,15.04,42.49,4.5,54.86,4:20.11,7003368.0,wa_2013,260.11,8.756567425569177,7.3138297872340425,7.911392405063291,5.766790973049863
200,1.0,Ashton Eaton,USA,9045 WR,Mark,10.23,7.88,14.52,2.01,45.0,13.69,43.34,5.2,63.63,4:17.52,7078726.0,wa_2015,257.52,9.775171065493646,8.035062089116144,8.88888888888889,5.824790307548929
201,2.0,Damian Warner,CAN,8695 NR,Mark,10.31,7.65,14.44,2.04,47.3,13.63,44.99,4.8,63.5,4:31.51,7078726.0,wa_2015,271.51,9.699321047526672,8.070432868672047,8.456659619450317,5.524658391956097
202,3.0,Rico Freimuth,GER,8561 PB,Mark,10.51,7.51,15.5,1.95,47.82,13.91,50.17,4.8,60.61,4:37.05,7078726.0,wa_2015,277.05,9.514747859181732,7.907979870596693,8.36470096194061,5.414185165132647
203,4.0,Ilya Shkurenyov,RUS,8538 PB,Mark,11.01,7.5,14.09,2.1,47.88,14.27,44.53,5.2,60.99,4:24.98,7078726.0,wa_2015,264.98,9.082652134423252,7.708479327259986,8.35421888053467,5.660804589025586
204,5.0,Larbi Bourrada,ALG,8461 AR,Mark,10.83,7.51,13.73,2.07,47.6,14.26,41.53,4.8,63.82,4:16.61,7078726.0,wa_2015,256.61,9.233610341643583,7.713884992987377,8.403361344537815,5.845446397256537
205,6.0,Kai Kazmirek,GER,8448,Mark,10.9,7.4,14.27,2.1,46.83,14.39,40.08,5.2,62.55,4:35.61,7078726.0,wa_2015,275.61,9.174311926605505,7.644197359277276,8.541533205210335,5.4424730597583535
206,7.0,Michael Schrader,GER,8418,Mark,10.78,7.71,14.32,1.95,47.12,14.19,44.58,4.6,62.09,4:22.30,7078726.0,wa_2015,262.3,9.27643784786642,7.7519379844961245,8.488964346349746,5.71864277544796
207,8.0,Kurt Felix,GRN,8302 NR,Mark,11.02,7.66,15.02,2.1,49.89,14.58,45.95,4.5,63.41,4:32.57,7078726.0,wa_2015,272.57,9.074410163339383,7.544581618655693,8.017638805371817,5.50317349671644
208,9.0,Oleksiy Kasyanov,UKR,8262 SB,Mark,10.73,7.58,14.25,2.01,48.13,13.96,45.84,4.8,49.35,4:31.80,7078726.0,wa_2015,271.8,9.319664492078285,7.8796561604584525,8.310824849366298,5.518763796909492
209,10.0,Maicel Uibo,EST,8245,Mark,11.25,7.13,14.45,2.13,50.24,15.01,43.69,5.1,64.51,4:25.53,7078726.0,wa_2015,265.53,8.88888888888889,7.328447701532312,7.961783439490445,5.6490792000903856
210,11.0,Adam Sebastian Helcelet,CZE,8234 SB,Mark,11.09,7.29,15.3,2.04,49.66,14.2,42.9,4.9,63.07,4:37.65,7078726.0,wa_2015,277.65,9.017132551848512,7.746478873239437,8.054772452678213,5.4024851431658565
211,12.0,Pieter Braun,NED,8114,Mark,11.11,7.29,13.9,2.04,48.24,14.37,42.09,4.9,56.95,4:32.46,7078726.0,wa_2015,272.46,9.000900090009,7.654836464857342,8.291873963515755,5.505395287381634
212,13.0,Bastien Auzeil,FRA,8093,Mark,11.22,7.26,15.38,2.01,48.66,14.71,42.63,5.1,55.14,4:37.92,7078726.0,wa_2015,277.92,8.9126559714795,7.477906186267845,8.220304151253597,5.3972366148531945
213,14.0,Thomas van der Plaetsen,BEL,8035 SB,Mark,11.44,7.42,13.83,2.13,50.28,14.76,43.01,5.3,55.23,4:47.38,7078726.0,wa_2015,287.38,8.741258741258742,7.452574525745257,7.955449482895784,5.219569907439627
214,15.0,Zachery Ziemek,USA,8006,Mark,10.81,7.57,13.38,2.04,49.89,15.29,44.19,5.2,56.5,4:56.66,7078726.0,wa_2015,296.65999999999997,9.250693802035153,7.194244604316547,8.017638805371817,5.056293399851683
215,16.0,Akihiko Nakamura,JPN,7745,Mark,10.86,7.26,11.67,1.95,47.81,14.72,33.48,4.7,53.57,4:16.36,7078726.0,wa_2015,256.36,9.208103130755065,7.4728260869565215,8.36645053336122,5.851146824777656
216,17.0,Paweł Wiesiołek,POL,7705,Mark,11.07,7.08,13.5,1.98,48.55,14.82,41.55,4.5,54.08,4:39.31,7078726.0,wa_2015,279.31,9.033423667570009,7.422402159244264,8.2389289392379,5.3703770004654325
217,18.0,Pau Tonnesen,ESP,7606,Mark,11.26,7.21,13.74,2.04,50.24,15.12,45.28,4.8,60.42,5:33.73,7078726.0,wa_2015,333.73,8.880994671403197,7.275132275132275,7.961783439490445,4.494651364875797
218,19.0,Janek Õiglane,EST,7581,Mark,11.51,6.78,14.43,1.92,50.95,15.33,40.94,4.6,68.51,4:43.06,7078726.0,wa_2015,283.06,8.688097306689835,7.1754729288975865,7.850834151128557,5.299229845262489
219,20.0,Keisuke Ushiro,JPN,7532,Mark,11.51,6.73,14.93,1.89,50.85,15.43,46.85,4.7,56.52,4:43.51,7078726.0,wa_2015,283.51,8.688097306689835,7.128969539857421,7.866273352999016,5.290818666008254
229,1.0,Kevin Mayer,FRA,8768 WL,Mark,10.7,7.52,15.72,2.08,48.26,13.75,47.14,5.1,66.1,4:36.73,7093740.0,wa_2017,276.73,9.345794392523365,8.0,8.288437629506838,5.420445922017851
230,2.0,Rico Freimuth,GER,8564,Mark,10.53,7.48,14.85,1.99,48.41,13.68,51.17,4.8,62.34,4:41.57,7093740.0,wa_2017,281.57,9.49667616334283,8.04093567251462,8.262755629002273,5.3272720815427785
231,3.0,Kai Kazmirek,GER,8488 SB,Mark,10.91,7.64,13.78,2.11,47.19,14.66,45.06,5.1,62.45,4:38.07,7093740.0,wa_2017,278.07,9.165902841429881,7.503410641200546,8.47637211273575,5.394325169921243
232,4.0,Janek Õiglane,EST,8371 PB,Mark,11.08,7.33,15.13,2.05,49.58,14.56,42.11,5.1,71.73,4:39.24,7093740.0,wa_2017,279.24,9.025270758122744,7.554945054945055,8.067769261799112,5.3717232488182205
233,5.0,Damian Warner,CAN,8309,Mark,10.5,7.44,13.45,2.02,47.47,13.63,40.67,4.7,56.63,4:28.39,7093740.0,wa_2017,268.39,9.523809523809524,8.070432868672047,8.426374552348852,5.588881851037669
234,6.0,Oleksiy Kasyanov,UKR,8234,Mark,10.77,7.28,14.99,2.02,48.64,14.05,48.79,4.7,50.82,4:33.86,7093740.0,wa_2017,273.86,9.285051067780874,7.829181494661921,8.223684210526315,5.477251150222742
235,7.0,Kurt Felix,GRN,8227,Mark,11.08,7.46,15.01,2.08,49.09,14.68,45.39,4.5,64.64,4:36.62,7093740.0,wa_2017,276.62,9.025270758122744,7.493188010899183,8.148299042574862,5.4226014026462295
236,8.0,Adam Sebastian Helcelet,CZE,8222,Mark,11.28,7.03,14.57,2.02,49.51,14.38,44.71,4.9,71.56,4:36.85,7093740.0,wa_2017,276.85,8.865248226950355,7.649513212795549,8.079175924055747,5.418096442116669
237,9.0,Jorge Ureña,ESP,8125 PB,Mark,11.0,7.3,13.91,2.08,48.72,14.15,36.33,5.0,56.06,4:26.46,7093740.0,wa_2017,266.46,9.090909090909092,7.773851590106007,8.210180623973727,5.629362756136006
238,10.0,Devon Williams,USA,8088,Mark,10.93,7.44,14.43,1.96,48.11,14.27,44.29,4.6,57.93,4:40.50,7093740.0,wa_2017,280.5,9.149130832570906,7.708479327259986,8.314279775514446,5.347593582887701
239,11.0,Ashley Bryant,GBR,8049,Mark,11.14,7.44,14.09,1.96,49.24,14.75,43.95,4.3,67.97,4:27.15,7093740.0,wa_2017,267.15,8.976660682226212,7.4576271186440675,8.123476848090982,5.614823133071309
240,12.0,Martin Roe,NOR,8040,Mark,10.9,7.5,15.22,1.93,49.09,15.15,48.24,4.5,58.3,4:39.24,7093740.0,wa_2017,279.24,9.174311926605505,7.260726072607261,8.148299042574862,5.3717232488182205
241,13.0,Karl-Robert Saluri,EST,8025 SB,Mark,10.55,7.49,13.98,1.84,47.76,15.36,40.43,5.0,57.12,4:31.31,7093740.0,wa_2017,271.31,9.47867298578199,7.161458333333334,8.375209380234507,5.528730971950905
242,14.0,Pau Tonnesen,ESP,8006,Mark,11.26,7.21,13.76,2.08,50.85,14.57,43.07,5.4,55.13,4:46.31,7093740.0,wa_2017,286.31,8.880994671403197,7.549759780370624,7.866273352999016,5.239076525444449
243,15.0,Bastien Auzeil,FRA,7922 SB,Mark,11.35,6.87,15.23,1.96,50.36,14.59,46.86,4.8,60.8,4:39.80,7093740.0,wa_2017,279.8,8.81057268722467,7.539410555174777,7.942811755361398,5.36097212294496
244,16.0,Pieter Braun,NED,7890,Mark,11.22,7.17,14.48,1.93,48.54,14.67,42.59,4.7,59.26,4:38.40,7093740.0,wa_2017,278.4,8.9126559714795,7.498295841854124,8.240626287597857,5.387931034482759
245,17.0,Dominik Distelberger,AUT,7857,Mark,11.03,7.11,12.93,1.87,48.13,14.59,43.18,5.0,56.46,4:39.15,7093740.0,wa_2017,279.15,9.066183136899365,7.539410555174777,8.310824849366298,5.373455131649651
246,18.0,Cedric Dubler,AUS,7728,Mark,11.06,7.29,11.36,2.08,48.31,14.92,40.85,4.9,52.1,4:50.31,7093740.0,wa_2017,290.31,9.041591320072332,7.372654155495979,8.27985924239288,5.166890565257828
247,19.0,Akihiko Nakamura,JPN,7646,Mark,11.06,7.28,11.37,1.96,48.98,14.43,33.65,4.7,54.22,4:22.62,7093740.0,wa_2017,262.62,9.041591320072332,7.623007623007624,8.166598611678237,5.711674663011195
248,20.0,Keisuke Ushiro,JPN,7498,Mark,11.53,6.64,13.43,1.96,51.43,15.35,47.64,4.6,63.28,4:51.90,7093740.0,wa_2017,291.9,8.673026886383349,7.166123778501629,7.777561734396267,5.138746145940391
264,1.0,Niklas Kaul,GER,8691 PB,Mark,11.27,7.19,15.1,2.02,48.48,14.64,49.2,5.0,79.05,4:15.70,7125365.0,wa_2019,255.7,8.873114463176575,7.5136612021857925,8.250825082508252,5.866249511145874
265,2.0,Maicel Uibo,EST,8604 PB,Mark,11.1,7.46,15.12,2.17,50.44,14.43,46.64,5.4,63.83,4:31.51,7125365.0,wa_2019,271.51,9.00900900900901,7.623007623007624,7.930214115781126,5.524658391956097
266,3.0,Damian Warner,CAN,8529,Mark,10.35,7.67,15.17,2.02,48.12,13.56,42.19,4.7,62.87,4:40.77,7125365.0,wa_2019,280.77,9.66183574879227,8.112094395280236,8.31255195344971,5.342451116572284
267,4.0,Ilya Shkurenyov,ANA,8494 SB,Mark,11.02,7.61,14.71,2.11,49.36,14.28,48.75,5.2,59.56,4:41.95,7125365.0,wa_2019,281.95,9.074410163339383,7.703081232492997,8.103727714748784,5.320092214931726
268,5.0,Pierce LePage,CAN,8445,Mark,10.36,7.79,13.21,2.05,47.35,14.19,41.19,5.2,57.42,4:45.09,7125365.0,wa_2019,285.09000000000003,9.652509652509654,7.7519379844961245,8.447729672650475,5.261496369567505
269,6.0,Janek Õiglane,EST,8297 SB,Mark,10.94,7.32,15.2,1.96,49.14,15.13,43.37,5.0,72.46,4:36.24,7125365.0,wa_2019,276.24,9.140767824497258,7.270323859881031,8.14000814000814,5.430060816681147
270,7.0,Pieter Braun,NED,8222,Mark,11.16,7.47,15.26,2.02,48.79,14.59,45.59,4.8,59.84,4:35.62,7125365.0,wa_2019,275.62,8.960573476702509,7.539410555174777,8.19840131174421,5.4422755968362235
271,8.0,Solomon Simmons,USA,8151,Mark,10.7,7.37,15.33,1.96,49.31,14.1,46.26,4.8,53.25,4:44.17,7125365.0,wa_2019,284.17,9.345794392523365,7.801418439716312,8.111944838775097,5.278530457120738
272,9.0,Thomas van der Plaetsen,BEL,8125,Mark,11.38,7.2,13.78,2.08,50.89,14.8,46.17,5.3,63.67,4:43.95,7125365.0,wa_2019,283.95,8.787346221441124,7.4324324324324325,7.860090391039497,5.282620179609086
273,10.0,Tim Nowak,GER,8122,Mark,11.12,7.07,14.69,2.02,49.6,14.6,45.02,4.9,56.76,4:22.18,7125365.0,wa_2019,262.18,8.992805755395684,7.534246575342466,8.064516129032258,5.721260202914029
274,11.0,Cedric Dubler,AUS,8101,Mark,10.75,7.25,12.43,2.02,48.41,14.13,44.3,4.7,59.04,4:34.75,7125365.0,wa_2019,274.75,9.30232558139535,7.78485491861288,8.262755629002273,5.45950864422202
275,12.0,Paweł Wiesiołek,POL,8064,Mark,10.76,7.02,15.26,1.96,49.37,14.65,47.2,4.9,55.0,4:42.06,7125365.0,wa_2019,282.06,9.29368029739777,7.508532423208191,8.10208628721896,5.318017443097213
276,13.0,Vitaliy Zhuk,BLR,8058,Mark,10.95,6.63,15.13,1.96,48.08,14.49,46.64,4.8,58.66,4:35.45,7125365.0,wa_2019,275.45,9.132420091324201,7.59144237405107,8.319467554076539,5.445634416409512
277,14.0,Harrison Williams,USA,7892,Mark,10.76,7.14,13.78,1.93,47.93,14.43,44.23,4.8,48.59,4:40.96,7125365.0,wa_2019,280.96,9.29368029739777,7.623007623007624,8.345503859795535,5.338838268792711
278,15.0,Fredrik Samuelsson,SWE,7860,Mark,11.13,7.11,13.97,2.02,50.08,14.78,42.71,4.8,57.39,4:39.48,7125365.0,wa_2019,279.48,8.98472596585804,7.442489851150203,7.987220447284345,5.36711034778875
279,16.0,Keisuke Ushiro,JPN,7545,Mark,11.44,6.9,14.31,1.9,51.42,15.26,48.41,4.5,61.36,4:52.12,7125365.0,wa_2019,292.12,8.741258741258742,7.208387942332896,7.779074290159471,5.134876078323976
288,1.0,Kevin MAYER,FRA,8816 SB,Mark,10.62,7.54,14.98,2.05,49.4,13.92,49.44,5.4,70.31,4:41.44,7137279.0,wa_2022,281.44,9.416195856873824,7.902298850574713,8.097165991902834,5.329732802728823
289,2.0,Pierce LEPAGE,CAN,8701 PB,Mark,10.39,7.54,14.83,1.99,46.84,13.78,53.26,5.0,57.52,4:42.77,7137279.0,wa_2022,282.77,9.624639076034649,7.982583454281568,8.539709649871904,5.3046645683771265
290,3.0,Zachery ZIEMEK,USA,8676 PB,Mark,10.57,7.7,15.37,2.08,49.56,14.47,48.4,5.4,62.18,4:44.97,7137279.0,wa_2022,284.97,9.460737937559129,7.601935038009675,8.071025020177562,5.263711969681019
291,4.0,Ayden OWENS-DELERME,PUR,8532 NR,Mark,10.52,7.64,14.97,2.02,45.07,13.88,42.36,4.5,50.98,4:13.02,7137279.0,wa_2022,253.02,9.505703422053232,7.925072046109509,8.875083203905037,5.9283851078966086
292,5.0,Lindon VICTOR,GRN,8474 SB,Mark,10.78,7.26,16.29,2.02,49.27,14.76,53.92,4.8,66.2,4:47.22,7137279.0,wa_2022,287.22,9.27643784786642,7.452574525745257,8.11853054597118,5.222477543346563
293,6.0,Niklas KAUL,GER,8434 SB,Mark,11.22,7.09,14.52,2.05,48.39,14.27,44.62,4.8,69.74,4:13.81,7137279.0,wa_2022,253.81,8.9126559714795,7.708479327259986,8.266170696424881,5.909932626768055
294,7.0,Maicel UIBO,EST,8425 SB,Mark,11.14,7.32,15.17,2.11,50.38,14.49,46.52,5.3,63.54,4:37.58,7137279.0,wa_2022,277.58,8.976660682226212,7.59144237405107,7.939658594680428,5.403847539448087
295,8.0,Cedric DUBLER,AUS,8246,Mark,10.93,7.56,12.87,2.08,47.71,14.28,42.88,5.1,54.76,4:37.26,7137279.0,wa_2022,277.26,9.149130832570906,7.703081232492997,8.383986585621463,5.410084397316599
296,9.0,Johannes ERM,EST,8227,Mark,10.94,7.37,15.01,1.93,47.02,14.38,44.18,4.7,56.87,4:25.08,7137279.0,wa_2022,265.08,9.140767824497258,7.649513212795549,8.507018290089324,5.658669081032142
297,10.0,Leo NEUGEBAUER,GER,8182,Mark,11.07,7.46,15.83,1.99,48.34,14.86,51.88,4.8,52.8,4:48.41,7137279.0,wa_2022,288.40999999999997,9.033423667570009,7.402422611036339,8.274720728175424,5.200929232689575
298,11.0,Kyle GARLAND,USA,8133,Mark,10.69,7.41,15.24,2.14,49.64,14.18,45.44,4.6,53.23,4:58.94,7137279.0,wa_2022,298.94,9.354536950420954,7.757404795486601,8.058017727639001,5.017729310229478
299,12.0,Kai KAZMIREK,GER,8113 SB,Mark,11.19,7.49,14.29,2.02,49.33,14.43,40.96,5.0,62.52,4:43.51,7137279.0,wa_2022,283.51,8.936550491510278,7.623007623007624,8.108655990269613,5.290818666008254
300,13.0,Jiří SÝKORA,CZE,8107 SB,Mark,11.11,7.14,14.89,1.93,49.29,14.14,54.39,4.6,61.49,4:55.90,7137279.0,wa_2022,295.9,9.000900090009,7.779349363507779,8.115236356258876,5.069280162216965
301,14.0,Daniel GOLUBOVIC,AUS,8071 SB,Mark,10.99,6.96,15.0,1.96,49.44,13.92,46.37,4.6,56.75,4:29.67,7137279.0,wa_2022,269.67,9.099181073703367,7.902298850574713,8.090614886731393,5.562353988207809
302,15.0,Sander SKOTHEIM,NOR,8062,Mark,10.88,7.55,13.69,2.17,49.8,15.05,42.89,4.7,55.47,4:40.84,7137279.0,wa_2022,280.84000000000003,9.191176470588236,7.308970099667774,8.032128514056225,5.341119498646916
303,16.0,Steven BASTIEN,USA,7939,Mark,10.93,7.41,13.36,2.02,47.95,14.75,40.66,4.7,55.8,4:40.92,7137279.0,wa_2022,280.92,9.149130832570906,7.4576271186440675,8.342022940563085,5.339598462195642
304,17.0,Ken MULLINGS,BAH,7866 NR,Mark,10.83,6.96,13.83,2.05,49.25,14.02,42.7,4.5,56.92,4:52.85,7137279.0,wa_2022,292.85,9.233610341643583,7.845934379457917,8.121827411167512,5.122076148198736
311,1.0,Pierce LEPAGE,CAN,8909 WL,Mark,10.45,7.59,15.81,2.08,47.21,13.77,50.98,5.2,60.9,4:39.88,7138987.0,wa_2023,279.88,9.569377990430622,7.988380537400145,8.472781190425756,5.359439759897099
312,2.0,Damian WARNER,CAN,8804 SB,Mark,10.32,7.77,15.03,2.05,47.86,13.67,45.82,4.9,63.09,4:27.73,7138987.0,wa_2023,267.73,9.689922480620154,8.046817849305048,8.357709987463435,5.602659395659806
313,3.0,Lindon VICTOR,GRN,8756 NR,Mark,10.6,7.55,15.94,2.02,48.05,14.47,54.97,4.8,68.05,4:39.67,7138987.0,wa_2023,279.67,9.433962264150944,7.601935038009675,8.324661810613945,5.36346408266886
314,4.0,Karel TILGA,EST,8681 PB,Mark,10.84,7.58,15.75,2.05,48.58,14.68,50.57,4.8,66.42,4:20.73,7138987.0,wa_2023,260.73,9.22509225092251,7.493188010899183,8.233841086867024,5.7530778966747205
315,5.0,Leo NEUGEBAUER,GER,8645,Mark,10.69,8.0,17.04,2.02,47.99,14.75,47.63,5.1,57.95,4:43.93,7138987.0,wa_2023,283.93,9.354536950420954,7.4576271186440675,8.335069806209626,5.282992286831261
316,6.0,Janek ÕIGLANE,EST,8524 PB,Mark,10.94,7.47,15.08,2.02,48.41,14.51,40.85,5.1,70.45,4:23.43,7138987.0,wa_2023,263.43,9.140767824497258,7.580978635423846,8.262755629002273,5.694112287894317
317,7.0,Harrison WILLIAMS,USA,8500,Mark,10.74,7.49,15.28,1.93,46.52,14.33,43.39,5.3,54.6,4:22.69,7138987.0,wa_2023,262.69,9.31098696461825,7.676203768318214,8.598452278589853,5.710152651414215
318,8.0,Markus ROOTH,NOR,8491,Mark,10.84,7.62,13.22,2.02,48.27,14.47,48.78,5.1,64.84,4:34.11,7138987.0,wa_2023,274.11,9.22509225092251,7.601935038009675,8.286720530350113,5.472255663784612
319,9.0,Johannes ERM,EST,8484 PB,Mark,10.69,7.72,15.38,1.93,47.05,14.9,45.09,4.9,60.56,4:22.19,7138987.0,wa_2023,262.19,9.354536950420954,7.382550335570469,8.501594048884167,5.7210419924482245
320,10.0,Sander SKOTHEIM,NOR,8263,Mark,10.89,7.8,13.35,2.11,48.48,14.96,39.07,4.8,59.05,4:19.64,7138987.0,wa_2023,259.64,9.182736455463727,7.352941176470588,8.250825082508252,5.777230010784163
321,11.0,Manuel EITEL,GER,8191,Mark,10.44,7.14,14.85,1.99,48.47,14.39,41.3,4.7,60.12,4:33.70,7138987.0,wa_2023,273.7,9.578544061302683,7.644197359277276,8.252527336496803,5.480453050785532
322,12.0,Daniel GOLUBOVIC,AUS,8141,Mark,11.1,7.09,15.14,1.93,49.87,14.18,48.47,4.8,58.95,4:29.51,7138987.0,wa_2023,269.51,9.00900900900901,7.757404795486601,8.020854220974535,5.565656190864903
323,13.0,Rik TAAM,NED,8098,Mark,10.64,7.11,14.89,1.84,47.12,14.8,43.04,4.7,57.96,4:22.70,7138987.0,wa_2023,262.7,9.398496240601503,7.4324324324324325,8.488964346349746,5.709935287400076
324,14.0,José Fernando FERREIRA,BRA,7935,Mark,10.77,6.92,12.9,1.93,49.31,13.94,42.6,4.8,69.19,5:00.91,7138987.0,wa_2023,300.91,9.285051067780874,7.890961262553803,8.111944838775097,4.984879199760726
325,15.0,Yuma MARUYAMA,JPN,7844 PB,Mark,10.9,7.0,13.4,1.96,50.75,14.18,41.56,4.6,60.14,4:32.01,7138987.0,wa_2023,272.01,9.174311926605505,7.757404795486601,7.8817733990147785,5.514503143266792
335,1.0,Leo NEUGEBAUER,GER,8804 SB,Mark,10.8,7.62,16.7,1.99,48.27,14.8,56.15,5.1,64.34,4:31.89,7190593.0,wa_2025,271.89,9.25925925925926,7.4324324324324325,8.286720530350113,5.516936996579499
336,2.0,Ayden OWENS-DELERME,PUR,8784 NR,Mark,10.31,7.32,15.55,1.96,46.46,13.65,46.12,5.1,58.79,4:17.91,7190593.0,wa_2025,257.91,9.699321047526672,8.058608058608058,8.609556607834696,5.815982319413749
337,3.0,Kyle GARLAND,USA,8703,Mark,10.51,7.92,17.02,2.11,48.73,14.3,48.06,4.8,59.78,4:45.45,7190593.0,wa_2025,285.45,9.514747859181732,7.692307692307692,8.208495793145907,5.254860746190226
338,4.0,Niklas KAUL,GER,8538,Mark,11.34,7.21,14.58,2.05,48.13,14.45,47.29,4.7,78.19,4:20.76,7190593.0,wa_2025,260.76,8.818342151675486,7.612456747404845,8.310824849366298,5.752416014726185
339,5.0,Johannes ERM,EST,8431 SB,Mark,10.78,7.63,15.18,1.96,47.51,14.52,45.21,5.1,56.32,4:29.15,7190593.0,wa_2025,269.15,9.27643784786642,7.575757575757576,8.419280151547044,5.573100501579046
340,6.0,Heath BALDWIN,USA,8337,Mark,11.01,7.26,15.33,2.08,48.44,14.16,41.01,4.8,65.24,4:33.42,7190593.0,wa_2025,273.42,9.082652134423252,7.768361581920904,8.257638315441785,5.486065393899495
341,7.0,Harrison WILLIAMS,USA,8269 SB,Mark,10.79,6.88,14.87,1.9,46.88,14.56,45.61,5.2,55.44,4:22.72,7190593.0,wa_2025,262.72,9.267840593141798,7.554945054945055,8.532423208191126,5.709500609013397
342,8.0,Kendrick THOMPSON,BAH,8175,Mark,10.67,7.54,12.56,2.02,47.93,14.15,36.1,4.6,68.02,4:32.26,7190593.0,wa_2025,272.26,9.372071227741332,7.773851590106007,8.345503859795535,5.50943950635422
343,9.0,Makenson GLETTY,FRA,8146,Mark,10.92,6.98,15.31,1.96,50.49,14.06,42.0,4.9,62.89,4:27.90,7190593.0,wa_2025,267.9,9.157509157509157,7.823613086770981,7.9223608635373335,5.599104143337066
344,10.0,Jente HAUTTEKEETE,BEL,8116,Mark,10.85,7.04,14.58,1.99,49.36,14.49,44.09,5.0,55.44,4:27.91,7190593.0,wa_2025,267.91,9.216589861751153,7.59144237405107,8.103727714748784,5.598895151356799
345,11.0,Vilém STRÁSKÝ,CZE,8110,Mark,10.9,7.46,14.19,1.93,49.43,14.4,44.14,5.0,53.08,4:27.04,7190593.0,wa_2025,267.04,9.174311926605505,7.638888888888888,8.092251669026906,5.617136009586578
346,12.0,Antoine FERRANTI,FRA,8003,Mark,11.19,7.23,13.6,2.05,48.64,14.78,43.04,4.6,53.06,4:13.52,7190593.0,wa_2025,253.52,8.936550491510278,7.442489851150203,8.223684210526315,5.916692963079836
347,13.0,José Fernando FERREIRA,BRA,7927 SB,Mark,10.94,7.08,13.74,1.9,49.78,13.85,44.88,4.8,64.23,4:59.87,7190593.0,wa_2025,299.87,9.140767824497258,7.9422382671480145,8.035355564483728,5.002167605962584
348,14.0,Xiang FEI,CHN,7347,Mark,11.12,7.16,13.45,1.9,50.19,14.71,40.57,4.8,41.71,4:58.39,7190593.0,wa_2025,298.39,8.992805755395684,7.477906186267845,7.969715082685794,5.026978115888602
